main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Lemon,,Kilograms,1,1482.631,,,,,,,,"179,644",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,644",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Macadamia,,Kilograms,1,4151.367,42500 kg/tree/year,58750 kg/tree/year,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,645",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,42500 kg/tree/year,58750 kg/tree/year,,,"179,645",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,100th bag,,19.76841,,,,,,,,"179,646",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,646",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Bag,,8.236839,,,,,,,,"179,647",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,647",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Bucket,,79.07365,,,,,,,,"179,648",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,648",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Debe,,2.471052,,,,300 (DAP),,,https://agra.org/wp-content/uploads/2020/08/Kenya-Report_Assessment-of-Fertilizer-Distribution-Systems-and-Opportunities-for-Developing-Fertilizer-Blends.pdf#page=9.08 ,"179,649",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,649",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Kilograms,1,-,2000,6200,"https://doi.org/10.1016/j.still.2008.09.013;
https://www.researchgate.net/profile/George-Karuku/publication/352413716_Evaluating_maize_performance_under_varying_water_depletion_levels_in_Bura_irrigation_scheme_Kenya/links/60c8e6f4458515dcee92d140/Evaluating-maize-performance-under-varying-water-depletion-levels-in-Bura-irrigation-scheme-Kenya.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9",,125 (DAP) + 150 (CAN) or 5000 (FYM or compost) + 61 (DAP) + 75 (CAN) or 10000 (FYM or compost),,https://statistics.kilimo.go.ke/files/bookpage/KARI_Use_of_Organic_and_anorganic_fertilizers_MaizeVegetables_finger_millet_kenya_.pdf ,"179,650",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,2000,6200,275,,"179,650",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Lorry,,3.294736,,,,,,,,"179,651",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,651",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Pickup,,4.942103,,,,,,,,"179,652",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,652",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Maize,,Pieces,,27799.33,,,,,,,,"179,653",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,653",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Managu,,Kilograms,1,18532.89,,,,,,,,"179,654",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,654",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Fruit units,,129730.2,,,,,,,,"179,655",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,655",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Kilograms,1,20460.31,,,,,,,,"179,656",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,656",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Numbers,,-,,,,,,,,"179,657",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,657",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Pickup,,123.5526,,,,,,,,"179,658",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,658",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Pieces,,16308941,,,,,,,,"179,659",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,659",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mangoes,,Wheelbarrow,,19.76841,,,,,,,,"179,660",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,660",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mbaazi,,Kilograms,1,234.0996,1829,2350,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,661",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1829,2350,,,"179,661",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Mbinda,,Kilograms,1,864.8681,,,,,,,,"179,662",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,662",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Millet,,Kilograms,1,247.1052,1663,3620,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,50 (23:23:0 NPK) + 2500 (FYM or compost),,,"179,663",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1663,3620,50,,"179,663",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Canter,,49.42103,,,,,,,,"179,664",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,664",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Cart,,59.30524,,,,,,,,"179,665",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,665",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Kilograms,1,1067494,,,,,,,,"179,666",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,666",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Lorry,,123.5526,,,,,,,,"179,667",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,667",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Pickup,,237.221,,,,,,,,"179,668",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,668",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Napier grass,,Wheelbarrow,,13284.37,,,,,,,,"179,669",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,669",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Ocre,,Kilograms,1,197.6841,,,,,,,,"179,670",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,670",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Okra,,Kilograms,1,21003.94,,,,,,,,"179,671",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,671",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Orange,,Bag,,34.59472,,,,,,,,"179,672",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,672",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Orange,,Canter,,5,,,,,,,,"179,673",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,673",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Orange,,Kilograms,1,88957.86,,,,,,,,"179,674",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,674",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Orange,,Pieces,,9884.207,,,,,,,,"179,675",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,675",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Orange,,Probox,,3.706577,,,,,,,,"179,676",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,676",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Passion fruit,,Kilograms,1,-,,,,,,,,"179,677",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,677",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pawpaws,,Kilograms,1,1268.473,,,,,,,,"179,678",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,678",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pawpaws,,Pieces,,197.6841,,,,,,,,"179,679",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,679",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Peaches,,Kilograms,1,11861.05,,,,,,,,"179,680",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,680",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Peagions,,Kilograms,1,65.89471,,,,,,,,"179,681",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,681",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pears,,Acre,,2.471052,,,,,,,,"179,682",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,682",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pears,,Kilograms,1,8648.681,,,,,,,,"179,683",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,683",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Peas,,Bucket,,17.29736,,,,,,,,"179,684",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,684",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Peas,,Kilograms,1,9884.207,,,,,,,,"179,685",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,685",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pegions,,Kilograms,1,494.2103,,,,,,,,"179,686",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,686",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Picsies,,Kilograms,1,760.3236,,,,,,,,"179,687",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,687",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pigeon peas,,Kilograms,1,3558.314,1700,2350,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,50 (DAP),,,"179,688",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,1700,2350,50,,"179,688",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pigweed,,Kilograms,1,194595.3,,,,,,,,"179,689",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,689",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pilipili hoho,,Kilograms,1,988.4207,,,,,,,,"179,690",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,690",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pixies,,Kilograms,1,4447.893,,,,,,,,"179,691",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,691",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pixies,,Pieces,,6177.629,,,,,,,,"179,692",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,692",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Plantain,,Bunches,,1235.526,,,,,,,,"179,693",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,693",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Plum,,Kilograms,1,7413.155,,,,,,,,"179,694",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,694",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Potatoes,,Bag,,6.177629,,,,,,,,"179,695",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,695",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Potatoes,,Bucket,,59.30524,,,,,,,,"179,696",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,696",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Potatoes,,Debe,,118.6105,,,,,,,,"179,697",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,697",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Potatoes,,Kilograms,1,43243.4,,,,,,,,"179,698",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,698",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pumpkin,,Kilograms,1,296.5262,8250,17143,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,,,,"179,699",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,8250,17143,,,"179,699",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Pumpkin,,Pieces,,247.1052,,,,,,,,"179,700",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,700",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Red pepper,,Kilograms,1,271.8157,,,,,,,,"179,701",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,701",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sandras,,Kilograms,1,14826.31,,,,,,,,"179,702",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,702",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sorghum,,Kilograms,1,197.6841,2544,2706,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,50 (DAP or NPK) + 50 (CAN),,,"179,703",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,2544,2706,100,,"179,703",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Spinach,,Bag,,543.6314,,,,,,,,"179,704",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,704",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Spinach,,Bunches,,1153157,,,,,,,,"179,705",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,705",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Spinach,,Kilograms,1,951256,,,,,,,,"179,706",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,706",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sugarcane,,Numbers,,9884.207,88200,123209,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,120 - 150 (N) and 90 (P2O5),,,"179,707",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,88200,123209,240,,"179,707",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sukuma wiki,,Bag,,395.3683,,,,,,,,"179,708",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,708",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sukuma wiki,,Kilograms,1,13590.78,,,,,,,,"179,709",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,709",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Sweet potatoes,,Kilograms,1,9607.449,16765,24055,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,30 (P2O5),,,"179,710",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,16765,24055,30,,"179,710",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Tea,,Kilograms,1,4127.274,3555,5289,https://kephis.go.ke/sites/default/files/slider/NATIONAL%20CROP%20VARIETY%20LIST%202024%20EDITION%20(1).pdf ,,200 (N),,https://teaboard.or.ke/images/downloads/manuals-handbooks/fertilizer-user-guide-manual-for-tea.pdf ,"179,711",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,3555,5289,200,,"179,711",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Terere,,Bunches,,71166.29,,,,,,,,"179,712",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,712",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Thorn melon,,Kilograms,1,4942.103,,,,,,,,"179,713",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,713",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Tomatoes,,Crates,,1284.947,,,,,,,,"179,714",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,714",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Tomatoes,,Kilograms,1,15023.99,10000,60000,https://www.tandfonline.com/doi/abs/10.1080/00128325.2016.1261986 ,,,,,"179,715",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,10000,60000,,,"179,715",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Vegetables,,Bundles,,494.2103,,,,,,,,"179,716",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,716",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Vegetables,,Kilograms,1,31234.09,,,,,,,,"179,717",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,717",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
