"type","name_question","label_question","column_name_new","type_question","list_name"
"decimal","_1_2_1_7","For how many years have you lived in this community?","years_in_community","decimal",NA
"integer","_1_2_1_8","Year of birth","year_birth","integer",NA
"select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one","1_2_1_9"
"select_one 1_2_1_10","_1_2_1_10","Marital status","marital_status","select_one","1_2_1_10"
"text","_1_2_1_11","Ethnicity","ethnicity","text",NA
"select_one 4_1_1_1","_4_1_1_1","Can you read and write in any language?","read_write","select_one","4_1_1_1"
"select_one 1_2_1_12_1","_1_2_1_12_1","What is the highest level of school you attended?","education_level","select_one","1_2_1_12_1"
"select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one","1_2_1_13_1"
"select_one 1_2_1_13_2_1","_1_2_1_13_2_1","Do you have any additional occupation(s)?","occupation_secondary","select_one","1_2_1_13_2_1"
"select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple","1_2_1_13_2_2"
"integer","_1_2_1_14_1","How many Male adults of working age (≥18 and ≤65 years old) live in the household?","num_adults_wa_male","integer",NA
"integer","_1_2_1_14_2","How many Female adults of working age (≥18 and ≤65 years old) live in the household?","num_adults_wa_female","integer",NA
"integer","_1_2_1_14_3","How many Male adults not of working age (>65 years old) live in the household?","num_adults_old_male","integer",NA
"integer","_1_2_1_14_4","How many Female adults not of working age (>65 years old) live in the household?","num_adults_old_female","integer",NA
"integer","_1_2_1_14_5","How many Male children (<18 years old) live in the household?","num_children_male","integer",NA
"integer","_1_2_1_14_6","How many Female children (<18 years old) live in the household?","num_children_female","integer",NA
"select_one 1_2_1_12_1","_4_1_1_2","Please indicate the highest level of school attended by most MALE household members of working age (≥18 and ≤65 years old)","education_level_male","select_one","1_2_1_12_1"
"select_one 1_2_1_12_1","_4_1_1_3","Please indicate the highest level of school attended by most FEMALE household members of working age (≥18 and ≤65 years old)","education_level_female","select_one","1_2_1_12_1"
"select_one 4_1_1_4","_4_1_1_4_1","Training in innovative or best management agricultural practices","training_best_practices","select_one","4_1_1_4"
"select_one 4_1_1_4","_4_1_1_4_3","Training in agribusiness management and value addition","training_agribusiness","select_one","4_1_1_4"
"select_one 4_1_1_4","_4_1_1_4_4","Other training (please specify)","training_other","select_one","4_1_1_4"
"select_one 1_2_1_15","_1_2_1_15","Are you or anyone in your household currently involved in any agricultural research or development project?","project_participation","select_one","1_2_1_15"
"select_one 1_2_1_16","_1_2_1_16_001","Do you know what Agroecology means?","agroecology_knowledge","select_one","1_2_1_16"
"select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one","1_3_1_1"
"select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one","1_3_1_1"
"select_one 3_1_1","_3_1_1_1","Thinking about your own life and personal circumstances, how satisfied are you with your life as a whole?","human_wellbeing_1","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_2","How satisfied are you with your standard of living?","human_wellbeing_2","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_3","How satisfied are you with your health?","human_wellbeing_3","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_4","How satisfied are you with what you are achieving in life?","human_wellbeing_4","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_5","How satisfied are you with your personal relationships?","human_wellbeing_5","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_6","How satisfied are you with how safe you feel?","human_wellbeing_6","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_7","How satisfied are you with feeling part of your community?","human_wellbeing_7","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_8","How satisfied are you with your economic security?","human_wellbeing_8","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_9","How satisfied are you with your nutritional security?","human_wellbeing_9","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_10","How satisfied are you with the amount of time you have to do the things that you like doing?","human_wellbeing_10","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_11","How satisfied are you with the quality of your local environment?","human_wellbeing_11","select_one","3_1_1"
"select_one 3_1_1","_3_1_1_12","How satisfied are you with your occupation?","human_wellbeing_12","select_one","3_1_1"
"select_one 3_1_2_1","_3_1_2_2","On which step of the ladder would you position the majority of women in your household today?","farmer_agency_1","select_one","3_1_2_1"
"select_one 3_1_2_2","_3_1_2_3","On which step of the ladder would you position the majority of women in your household 10 years ago?","farmer_agency_2","select_one","3_1_2_2"
"select_one 3_1_2_1","_3_1_2_4","On which step of the ladder would you position the majority of men in your household today?","farmer_agency_3","select_one","3_1_2_1"
"select_one 3_1_2_2","_3_1_2_5","On which step of the ladder would you position the majority of men in your household 10 years ago?","farmer_agency_4","select_one","3_1_2_2"
"select_one 3_1_2_1","_3_1_2_6","On which step of the ladder would you position the majority of women in your community today?","farmer_agency_5","select_one","3_1_2_1"
"select_one 3_1_2_3","_3_1_2_6_001","Would you position different types of women in different places on this ladder? Older people, younger people, poorer people, single people, etc.?","farmer_agency_6","select_one","3_1_2_3"
"select_one 3_1_2_1","_3_1_2_7","On which step of the ladder would you position the majority of men in your community today?","farmer_agency_7","select_one","3_1_2_1"
"select_one 3_1_2_3","_3_1_2_7_001","Would you position different types of men in different places on this ladder? Older people, younger people, poorer people, single people, etc.?","farmer_agency_8","select_one","3_1_2_3"
"integer","_2_1_1_1","Agricultural extension workers","num_info_exchange_extension","integer",NA
"integer","_2_1_1_2","Consumers","num_info_exchange_consumers","integer",NA
"integer","_2_1_1_3","Food traders","num_info_exchange_traders","integer",NA
"integer","_2_1_1_4","Government","num_info_exchange_government","integer",NA
"integer","_2_1_1_5","NGOs","num_info_exchange_ngo","integer",NA
"integer","_2_1_1_6","Other farmers","num_info_exchange_farmers","integer",NA
"integer","_2_1_1_7","Researchers","num_info_exchange_researchers","integer",NA
"select_one 2_2_1_1","_2_2_1_1","How often does your household participate in activities and meetings related to the management of your community's land and natural resources?","participation_nr_frequency","select_one","2_2_1_1"
"select_one 2_2_1_2","_2_2_1_2","How often does your household influence the decision-making that goes into the management of your community's land and natural resources?","influence_nr_frequency","select_one","2_2_1_2"
"select_one 2_2_1_3","_2_2_1_3","In your opinion, are your community's land and natural resources well-managed?","nr_management_opinion","select_one","2_2_1_3"
"select_multiple 2_3_1_1","_2_3_1_1","Select all the associations/organizations of which you or other HH members are part of","membership","select_multiple","2_3_1_1"
"select_one 2_3_1_4","_2_3_1_4","In your opinion, how effective are farmer associations/organizations at supporting farmers in business?","perception_associations_effectiveness","select_one","2_3_1_4"
"decimal","_1_4_1_1_1","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","land_tenure_own_area","decimal",NA
"decimal","_1_4_1_1_2","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently LEASES from another person:","land_tenure_lease_area","decimal",NA
"decimal","_1_4_1_1_3","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently HOLDS USE RIGHTS, either alone or jointly with someone else:","land_tenure_hold_area","decimal",NA
"select_one 1_4_4_4","_1_4_4_4","Do you perceive that you could involuntarily lose ownership or use rights to any of the land (agricultural or not) you currently own or hold use rights to in the next 5 years?","land_tenure_security","select_one","1_4_4_4"
"select_multiple 4_1_2_1","_4_1_3_1","In the last 12 months, what were the most severe shocks faced by the household","household_shock","select_multiple","4_1_2_1"
"select_multiple 4_1_2_1_2","_4_1_3_1_2","What did the household members do to cope with the shocks","household_shock_recover_activities","select_multiple","4_1_2_1_2"
"select_one 2_6_1_3","_2_6_1_3","How would you rate the capacity of the household's income and agricultural production to recover from shocks/perturbations?","household_shock_recover_capacity","select_one","2_6_1_3"
"select_one 4_1_1_6","_4_1_1_6","Do you have insurance against agricultural losses?","insurance_agric_losses_level","select_one","4_1_1_6"
"select_one 4_1_3_2","_4_1_3_2_1","Would any of the following individuals or organisations provide your household support in case of need: Banks","support_provider/bank","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_2","Would any of the following individuals or organisations provide your household support in case of need: Community leaders","support_provider/community_leaders","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_3","Would any of the following individuals or organisations provide your household support in case of need: Individuals from a different community (family/ friends/ farmers)","support_provider/ind_different_community","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_4","Would any of the following individuals or organisations provide your household support in case of need: Individuals from my community (family/ friends/ fellow farmers)","support_provider/ind_own_community","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_5","Would any of the following individuals or organisations provide your household support in case of need: Local farmer cooperatives","support_provider/cooperatives","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_6","Would any of the following individuals or organisations provide your household support in case of need: Local farmer producer organization","support_provider/farmer_organization","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_7","Would any of the following individuals or organisations provide your household support in case of need: Local government","support_provider/local_government","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_8","Would any of the following individuals or organisations provide your household support in case of need: Moneylenders","support_provider/moneylenders","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_9","Would any of the following individuals or organisations provide your household support in case of need: National government","support_provider/national_government","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_10","Would any of the following individuals or organisations provide your household support in case of need: NGOs","support_provider/ngo","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_11","Would any of the following individuals or organisations provide your household support in case of need: Other local associations (e.g. women support groups, youth groups)","support_provider/local_organization","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_12","Would any of the following individuals or organisations provide your household support in case of need: Shops/private input dealer","support_provider/shops","select_one","4_1_3_2"
"select_one 4_1_3_2","_4_1_3_2_13","Would any of the following individuals or organisations provide your household support in case of need: Other (please specify)","support_provider/other","select_one","4_1_3_2"
"select_multiple 2_4_1","_2_4_1","Please select all the sources of income for your household?","income_sources","select_multiple","2_4_1"
"integer","_4_1_2_1_1","In the past 12 months, approximately how much income in [local currency] did the household make from: Crop production","income_amount_crop","integer",NA
"integer","_4_1_2_1_2","In the past 12 months, approximately how much income in [local currency] did the household make from: Livestock production","income_amount_livestock","integer",NA
"integer","_4_1_2_1_3","In the past 12 months, approximately how much income in [local currency] did the household make from: Fish production","income_amount_fish","integer",NA
"integer","_4_1_2_1_4","In the past 12 months, approximately how much income in [local currency] did the household make from: Other family business","income_amount_family_business","integer",NA
"integer","_4_1_2_1_5","In the past 12 months, approximately how much income in [local currency] did the household make from: Casual labour","income_amount_casual_labour","integer",NA
"integer","_4_1_2_1_6","In the past 12 months, approximately how much income in [local currency] did the household make from: Formal labour office job","income_amount_formal_labour","integer",NA
"integer","_4_1_2_1_7","In the past 12 months, approximately how much income in [local currency] did the household make from: Cash transfers","income_amount_transfers","integer",NA
"integer","_4_1_2_1_8","In the past 12 months, approximately how much income in [local currency] did the household make from: Leasing agricultural or non-agricultural land","income_amount_leasing_land","integer",NA
"integer","_4_1_2_1_9","In the past 12 months, approximately how much income in [local currency] did the household make from: Subsidy","income_amount_subsidy","integer",NA
"integer","_4_1_2_1_10","In the past 12 months, approximately how much income in [local currency] did the household make from: other source of income","income_amount_other","integer",NA
"select_one 2_6_1_1","_2_6_1_1","Does the household earn enough income from farming to support the family?","income_sufficiency","select_one","2_6_1_1"
"select_one 2_6_1_2","_2_6_1_2","How would you rate the stability of the household income?","income_stability","select_one","2_6_1_2"
"select_one 3_2_1_2","_3_2_1_2","In the last 12 months, did the household spend more money on the farm than it earns from the farm?","financial_deficit","select_one","3_2_1_2"
"integer","_4_1_4_1","How many of the following assets do household members own?: Car","assets_car","integer",NA
"integer","_4_1_4_2","How many of the following assets do household members own?: Motorbike","assets_motorbike","integer",NA
"integer","_4_1_4_3","How many of the following assets do household members own?: Bicycle","assets_bicycle","integer",NA
"integer","_4_1_4_4","How many of the following assets do household members own?: Gas cooker","assets_gas_cooker","integer",NA
"integer","_4_1_4_5","How many of the following assets do household members own?: Electric cooker","assets_electric_cooker","integer",NA
"integer","_4_1_4_6","How many of the following assets do household members own?: Mobile phone","assets_mobile_phone","integer",NA
"integer","_4_1_4_7","How many of the following assets do household members own?: Smartphone (with internet access)","assets_smarthphone","integer",NA
"integer","_4_1_4_8","How many of the following assets do household members own?: Ox-plough","assets_ox_plough","integer",NA
"integer","_4_1_4_9","How many of the following assets do household members own?: Tractor","assets_tractor","integer",NA
"integer","_4_1_4_10","How many of the following assets do household members own?: Plow","assets_plow","integer",NA
"integer","_4_1_4_11","How many of the following assets do household members own?: Seed drill","assets_seed_drill","integer",NA
"integer","_4_1_4_12","How many of the following assets do household members own?: Crop storage facility","assets_crop_storage","integer",NA
"integer","_4_1_4_13_1","How many of the following assets do household members own?: other asset","assets_other","integer",NA
"select_one 4_1_1_5","_4_1_1_5","In the past 5 years, has your household needed credit to support investment in your farming business, but was unable to obtain it?","credit","select_one","4_1_1_5"
"select_multiple 4_1_1_6_1","_4_1_1_5_1","Please indicate the source of the credit you obtained for your farming business","credit_source","select_multiple","4_1_1_6_1"
"select_multiple 4_1_1_6_2","_4_1_1_5_2","Credit for what types of investment","credit_purpose","select_multiple","4_1_1_6_2"
"select_one 4_1_1_5_3","_4_1_1_5_3","Have your farm/household fully paid off the credit?","credit_payment_full","select_one","4_1_1_5_3"
"select_one 4_1_1_5_4","_4_1_1_5_4","How do you feel about your farm/household's ability to meet credit repayments now and until the loans are fully repaid?","credit_payment_hability","select_one","4_1_1_5_4"
"select_one 2_5_1","_2_5_1_1","Do you and your family have access to enough: Healthy food?","access_healthy_food","select_one","2_5_1"
"select_one 2_5_1","_2_5_1_2","Do you and your family have access to enough: Diversified food?","access_diversified_food","select_one","2_5_1"
"select_one 2_5_1","_2_5_1_3","Do you and your family have access to enough: Seasonal food?","access_seasonal_food","select_one","2_5_1"
"select_one 2_5_1","_2_5_1_4","Do you and your family have access to enough: Traditional food?","access_traditional_food","select_one","2_5_1"
"select_one 4_1_2_2","_4_1_2_2","In the past 7 days, what percentage of the household's income was used for buying food","income_spend_on_food_percentage","select_one","4_1_2_2"
"select_multiple 3_2_1_3_1","_3_2_1_3_1","Please observe the farmer's main household and ask, what material is the roof of the house made of?","roof_material","select_multiple","3_2_1_3_1"
"select_multiple 3_2_1_3_2","_3_2_1_3_2","Please observe the farmer's main household and ask, what material are the walls of the house made of?","walls_material","select_multiple","3_2_1_3_2"
"select_one 4_1_5","_4_1_5_1_1","Does your household have the following services: Drinking water piped to the household","accessibility_drinking_water","select_one","4_1_5"
"select_one 4_1_5","_4_1_5_1_2","Does your household have the following services: Toilet with piped sewer or septic tank","accessibility_piped_sewer","select_one","4_1_5"
"select_one 4_1_5","_4_1_5_1_3","Does your household have the following services: Electrical energy","accessibility_electrical_energy","select_one","4_1_5"
"select_one 4_1_5","_4_1_5_1_4","Does your household have the following services: Waste (rubbish) collection service","accessibility_waste_collection","select_one","4_1_5"
"select_one 4_1_5","_4_1_5_1_5","Does your household have the following services: Mobile phone reception","accessibility_phone_reception","select_one","4_1_5"
"select_one 4_1_5","_4_1_5_1_6","Does your household have the following services: Internet","accessibility_internet","select_one","4_1_5"
"select_one 1_2_1_17","_1_2_1_17","How far (one way) is the household from your CLOSEST FARMLAND?: Please select the unit you would like to use.","metric_distance_closest_farmland","select_one","1_2_1_17"
"select_one 4_1_5_2","_1_2_1_17_1","How far (one way) is the household from your CLOSEST FARMLAND?: State the main mode of transport","mode_distance_closest_farmland","select_one","4_1_5_2"
"integer","_1_2_1_17_2","How far (one way) is the household from your CLOSEST FARMLAND?","distance_closest_farmland","integer",NA
"select_one 1_2_1_17","_4_1_5_2_1","How far (one way) is the household from the closest accessible and functioning FRESHWATER SOURCE?: Please select the unit you would like to use.","metric_distance_water_source","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_1_1","How far (one way) is the household from the closest accessible and functioning FRESHWATER SOURCE?: State the main mode of transport","mode_distance_water_source","select_one","4_1_5_2"
"integer","_4_1_5_2_1_2","How far (one way) is the household from the closest accessible and functioning FRESHWATER SOURCE?","distance_water_source","integer",NA
"select_one 1_2_1_17","_4_1_5_2_2","How far (one way) is the household from the closest accessible and functioning PRIMARY SCHOOL?: Please select the unit you would like to use.","metric_distance_primary_school","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_2_1","How far (one way) is the household from the closest accessible and functioning PRIMARY SCHOOL?: State the main mode of transport","mode_distance_primary_school","select_one","4_1_5_2"
"integer","_4_1_5_2_2_2","How far (one way) is the household from the closest accessible and functioning PRIMARY SCHOOL?","distance_primary_school","integer",NA
"select_one 1_2_1_17","_4_1_5_2_3","How far (one way) is the household from the closest accessible and functioning PUBLIC HOSPITAL OR HEALTH FACILITY?: Please select the unit you would like to use.","metric_distance_hospital","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_3_1","How far (one way) is the household from the closest accessible and functioning PUBLIC HOSPITAL OR HEALTH FACILITY?: State the main mode of transport","mode_distance_hospital","select_one","4_1_5_2"
"integer","_4_1_5_2_3_2","How far (one way) is the household from the closest accessible and functioning PUBLIC HOSPITAL OR HEALTH FACILITY?","distance_hospital","integer",NA
"select_one 1_2_1_17","_4_1_5_2_4","How far (one way) is the household from the closest accessible and functioning LIVESTOCK MARKET?: Please select the unit you would like to use.","metric_distance_livestock_market","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_4_1","How far (one way) is the household from the closest accessible and functioning LIVESTOCK MARKET?: State the main mode of transport","mode_distance_livestock_market","select_one","4_1_5_2"
"integer","_4_1_5_2_4_2","How far (one way) is the household from the closest accessible and functioning LIVESTOCK MARKET?","distance_livestock_market","integer",NA
"select_one 1_2_1_17","_4_1_5_2_5","How far (one way) is the household from the closest accessible and functioning AGRICULTURAL/CROPS MARKET?: Please select the unit you would like to use.","metric_distance_crop_market","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_5_1","How far (one way) is the household from the closest accessible and functioning AGRICULTURAL/CROPS MARKET?: State the main mode of transport","mode_distance_crop_market","select_one","4_1_5_2"
"integer","_4_1_5_2_5_2","How far (one way) is the household from the closest accessible and functioning AGRICULTURAL/CROPS MARKET?","distance_crop_market","integer",NA
"select_one 1_2_1_17","_4_1_5_2_6","How far (one way) is the household from the closest accessible and functioning PUBLIC TRANSPORT?: Please select the unit you would like to use.","metric_distance_publich_transport","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_6_1","How far (one way) is the household from the closest accessible and functioning PUBLIC TRANSPORT?: State the main mode of transport","mode_distance_publich_transport","select_one","4_1_5_2"
"integer","_4_1_5_2_6_2","How far (one way) is the household from the closest accessible and functioning PUBLIC TRANSPORT?","distance_publich_transport","integer",NA
"select_one 1_2_1_17","_4_1_5_2_7","How far (one way) is the household from the closest accessible and functioning WELL-MAINTAINED ROAD SUITABLE FOR CARS?: Please select the unit you would like to use.","metric_distance_main_road","select_one","1_2_1_17"
"select_one 4_1_5_2","_4_1_5_2_7_1","How far (one way) is the household from the closest accessible and functioning WELL-MAINTAINED ROAD SUITABLE FOR CARS?: State the main mode of transport","mode_distance_main_road","select_one","4_1_5_2"
"integer","_4_1_5_2_7_2","How far (one way) is the household from the closest accessible and functioning WELL-MAINTAINED ROAD SUITABLE FOR CARS?","distance_main_road","integer",NA
"select_one 3_3_1_1","_3_3_1_1_0","How much land area is covered by natural and semi-natural vegetation on land owned, rented or used by the household: Any natural or semi-natural vegetation (bushland, fallow land, hedgerows, natural grassland, ponds, lakes, forest patches etc)","vegetation_cover_total","select_one","3_3_1_1"
"select_one 3_3_1_1","_3_3_1_1_1","How much land area is covered by natural and semi-natural vegetation on land owned, rented or used by the household: Bushland patches","vegetation_cover_bushland","select_one","3_3_1_1"
